GO term	GO size	Size pivot	GO name	CI quantile (GO)	CI quantile (17k random)	Number of random subsets
GO:0060371	7	8	regulation of atrial cardiac muscle cell membrane depolarization	0.0140388768898	0.00032167269803	24870
GO:0042571	37	32	immunoglobulin complex, circulating	0.00418994413408	0.000350058343057	8570
GO:0003996	6	8	acyl-CoA ligase activity	0.0169842584921	0.000361881785283	24870
GO:1901339	1	1	regulation of store-operated calcium channel activity	0.000189178963299	0.000397088021178	30220
GO:0042742	124	128	defense response to bacterium	0.0328638497653	0.000485436893204	2060
GO:0031424	99	128	keratinization	0.0384615384615	0.000485436893204	2060
GO:0071805	117	128	potassium ion transmembrane transport	0.0488888888889	0.000485436893204	2060
GO:0070588	115	128	calcium ion transmembrane transport	0.0614035087719	0.000485436893204	2060
GO:0007062	100	128	sister chromatid cohesion	0.0545454545455	0.000485436893204	2060
GO:0030449	100	128	regulation of complement activation	0.0763636363636	0.000485436893204	2060
GO:0006958	116	128	complement activation, classical pathway	0.03125	0.000485436893204	2060
GO:0052697	8	8	xenobiotic glucuronidation	0.00715990453461	0.000522718134298	24870
GO:0004024	6	8	alcohol dehydrogenase activity, zinc-dependent	0.0178127589064	0.000522718134298	24870
GO:1902093	7	8	positive regulation of flagellated sperm motility	0.0172786177106	0.000562927221552	24870
GO:0048020	15	16	CCR chemokine receptor binding	0.00553165334972	0.000563777307963	14190
GO:0003837	1	1	beta-ureidopropionase activity	0.000378357926599	0.000694904037062	30220
GO:1905513	1	1	negative regulation of short-term synaptic potentiation	0.000567536889898	0.000761085373925	30220
GO:0003993	6	8	acid phosphatase activity	0.0207125103563	0.000763972657821	24870
GO:1904315	3	4	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	0.00106761565836	0.00077519379845	34830
GO:0005277	2	2	acetylcholine transmembrane transporter activity	0.00129056047198	0.000786098469177	24170
GO:0035640	12	16	exploration behavior	0.0180555555556	0.000845665961945	14190
GO:0005132	5	4	type I interferon receptor binding	0.000315855969678	0.00100488084984	34830
GO:0097104	8	8	postsynaptic membrane assembly	0.00974542561655	0.0010454362686	24870
GO:0047760	6	8	butyrate-CoA ligase activity	0.0223695111848	0.0010454362686	24870
GO:0051932	6	8	synaptic transmission, GABAergic	0.0223695111848	0.0010454362686	24870
GO:0005344	11	8	oxygen carrier activity	0.0042654028436	0.0010454362686	24870
GO:0007216	9	8	G-protein coupled glutamate receptor signaling pathway	0.00607476635514	0.0010454362686	24870
GO:0042417	8	8	dopamine metabolic process	0.00974542561655	0.0010454362686	24870
GO:0001867	9	8	complement activation, lectin pathway	0.00607476635514	0.0010454362686	24870
GO:0015747	6	8	urate transport	0.0223695111848	0.0010454362686	24870
GO:0042923	16	16	neuropeptide binding	0.00492610837438	0.00105708245243	14190
GO:0030198	188	256	extracellular matrix organization	0.2890625	0.00108695652174	920
GO:0006956	84	64	complement activation	0.00579710144928	0.00108932461874	4590
GO:1905144	3	4	response to acetylcholine	0.00142348754448	0.00120585701981	34830
GO:0050957	6	8	equilibrioception	0.0240265120133	0.00124648170487	24870
GO:0048241	1	1	epinephrine transport	0.000756715853197	0.00132362673726	30220
GO:0014050	5	4	negative regulation of glutamate secretion	0.000631711939356	0.00137812230835	34830
GO:0035377	2	2	transepithelial water transport	0.00184365781711	0.00140670252379	24170
GO:0015671	12	16	oxygen transport	0.0225	0.00140944326991	14190
GO:0015250	12	16	water channel activity	0.0225	0.00140944326991	14190
GO:0006811	96	128	ion transport	0.116949152542	0.00145631067961	2060
GO:0002860	6	8	positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target	0.0248550124275	0.0015681544029	24870
GO:0061618	1	1	sublamina densa	0.000945894816496	0.00165453342158	30220
GO:0030718	3	4	germ-line stem cell population maintenance	0.0017793594306	0.00175136376687	34830
GO:0042269	3	4	regulation of natural killer cell mediated cytotoxicity	0.00213523131673	0.00178007464829	34830
GO:0004035	3	4	alkaline phosphatase activity	0.00249110320285	0.00180878552972	34830
GO:0098839	3	4	postsynaptic density membrane	0.00284697508897	0.00189491817399	34830
GO:0030239	12	16	myofibril assembly	0.025	0.00190274841438	14190
GO:0007368	51	64	determination of left/right symmetry	0.0305755395683	0.00196078431373	4590
GO:0003335	1	1	corneocyte development	0.0011350737798	0.00201853077432	30220
GO:0070698	2	2	type I activin receptor binding	0.00221238938053	0.00206868018204	24170
GO:0086008	6	8	voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization	0.0254763877382	0.0021712907117	24870
GO:0034618	6	8	arginine binding	0.0254763877382	0.0021712907117	24870
GO:0004961	1	1	thromboxane A2 receptor activity	0.00141884222474	0.00218398411648	30220
GO:0072014	3	4	proximal tubule development	0.00320284697509	0.00221073786965	34830
GO:0009446	1	1	putrescine biosynthetic process	0.00217555807794	0.00231634679021	30220
GO:0036153	1	1	triglyceride acyl-chain remodeling	0.00302686341279	0.00244870946393	30220
GO:0045503	24	32	dynein light chain binding	0.0392791127542	0.0024504084014	8570
GO:0005245	34	32	voltage-gated calcium channel activity	0.00645994832041	0.0024504084014	8570
GO:0042693	4	4	muscle cell fate commitment	0.00330214639516	0.00249784668389	34830
GO:0070173	2	2	regulation of enamel mineralization	0.00258112094395	0.00256516342573	24170
GO:0047484	3	4	regulation of response to osmotic stress	0.00391459074733	0.00261269020959	34830
GO:0008559	7	8	xenobiotic transmembrane transporting ATPase activity	0.0246580273578	0.00273421793325	24870
GO:0019227	7	8	neuronal action potential propagation	0.0246580273578	0.00273421793325	24870
GO:0005261	17	16	cation channel activity	0.00579598145286	0.00281888653982	14190
GO:0086012	12	16	membrane depolarization during cardiac muscle cell action potential	0.0294444444444	0.00281888653982	14190
GO:0097381	20	16	photoreceptor disc membrane	0.00382653061224	0.00281888653982	14190
GO:0005581	55	64	collagen trimer	0.0290909090909	0.00283224400871	4590
GO:0005502	5	4	11-cis retinal binding	0.00126342387871	0.00289979902383	34830
GO:0042596	3	4	fear response	0.00427046263345	0.00289979902383	34830
GO:0001582	2	2	detection of chemical stimulus involved in sensory perception of sweet taste	0.0033185840708	0.0029375258585	24170
GO:0031704	1	1	apelin receptor binding	0.00359440030269	0.0029450694904	30220
GO:0000070	24	32	mitotic sister chromatid segregation	0.0443622920518	0.00303383897316	8570
GO:0051899	23	32	membrane depolarization	0.0454115421003	0.00303383897316	8570
GO:0007418	3	4	ventral midline development	0.00462633451957	0.0031007751938	34830
GO:0050930	12	16	induction of positive chemotaxis	0.0319444444444	0.00317124735729	14190
GO:0043163	3	4	cell envelope organization	0.00498220640569	0.00324432960092	34830
GO:0086006	5	4	voltage-gated sodium channel activity involved in cardiac muscle cell action potential	0.00157927984839	0.00333046224519	34830
GO:0060084	3	4	synaptic transmission involved in micturition	0.00533807829181	0.00333046224519	34830
GO:0098976	7	8	excitatory chemical synaptic transmission	0.0264578833693	0.00333735424206	24870
GO:0016941	3	4	natriuretic peptide receptor activity	0.00569395017794	0.00338788400804	34830
GO:0050871	45	32	positive regulation of B cell activation	0.00623052959502	0.00350058343057	8570
GO:0065010	2	2	extracellular membrane-bounded organelle	0.00442477876106	0.00351675630947	24170
GO:0033563	2	2	dorsal/ventral axon guidance	0.00442477876106	0.00351675630947	24170
GO:0005503	2	2	all-trans retinal binding	0.00442477876106	0.00351675630947	24170
GO:0001964	12	16	startle response	0.0361111111111	0.00359408033827	14190
GO:0086016	3	4	AV node cell action potential	0.00658362989324	0.00364628194086	34830
GO:0042369	3	4	vitamin D catabolic process	0.00604982206406	0.00364628194086	34830
GO:0031728	3	4	CCR3 chemokine receptor binding	0.00658362989324	0.00364628194086	34830
GO:0044309	3	4	neuron spine	0.00711743772242	0.00367499282228	34830
GO:0008401	3	4	retinoic acid 4-hydroxylase activity	0.00747330960854	0.0037037037037	34830
GO:0015382	2	2	sodium:sulfate symporter activity	0.00516224188791	0.00380637153496	24170
GO:0070253	1	1	somatostatin secretion	0.00397275822928	0.00383851753805	30220
GO:0036457	3	4	keratohyalin granule	0.00782918149466	0.00390467987367	34830
GO:0035499	1	1	carnosine biosynthetic process	0.00435111615588	0.00390469887492	30220
GO:0007189	50	64	adenylate cyclase-activating G-protein coupled receptor signaling pathway	0.0609965635739	0.00392156862745	4590
GO:0042866	6	8	pyruvate biosynthetic process	0.0318972659486	0.00398069963812	24870
GO:2000318	6	8	positive regulation of T-helper 17 type immune response	0.0318972659486	0.00398069963812	24870
GO:0006144	6	8	purine nucleobase metabolic process	0.0318972659486	0.00398069963812	24870
GO:0071546	6	8	pi-body	0.0318972659486	0.00398069963812	24870
GO:0036094	7	8	small molecule binding	0.0287976961843	0.00398069963812	24870
GO:2000544	3	4	regulation of endothelial cell chemotaxis to fibroblast growth factor	0.0085409252669	0.00399081251794	34830
GO:0005166	3	4	neurotrophin p75 receptor binding	0.00818505338078	0.00399081251794	34830
GO:0042360	3	4	vitamin E metabolic process	0.00907473309609	0.00407694516222	34830
GO:0051180	3	4	vitamin transport	0.00907473309609	0.00407694516222	34830
GO:0006910	46	64	phagocytosis, recognition	0.095087163233	0.0041394335512	4590
GO:0021979	4	4	hypothalamus cell differentiation	0.00894331315355	0.00416307780649	34830
GO:0032983	3	4	kainate selective glutamate receptor complex	0.00960854092527	0.00416307780649	34830
GO:0046340	3	4	diacylglycerol catabolic process	0.0101423487544	0.00416307780649	34830
GO:0016608	2	2	growth hormone-releasing hormone activity	0.00553097345133	0.00417873396773	24170
GO:0002215	3	4	defense response to nematode	0.0106761565836	0.00419178868791	34830
GO:0045211	200	256	postsynaptic membrane	0.247967479675	0.00434782608696	920
GO:0002250	163	128	adaptive immune response	0.0512820512821	0.00436893203883	2060
GO:0071657	3	4	positive regulation of granulocyte colony-stimulating factor production	0.0110320284698	0.00462245190927	34830
GO:0030103	2	2	vasopressin secretion	0.00589970501475	0.00471659081506	24170
GO:0007468	1	1	regulation of rhodopsin gene expression	0.00472947408248	0.00479814692257	30220
GO:0030222	2	2	eosinophil differentiation	0.00626843657817	0.00484071162598	24170
GO:0055010	24	32	ventricular cardiac muscle tissue morphogenesis	0.0526802218115	0.0049008168028	8570
GO:0005432	6	8	calcium:sodium antiporter activity	0.0352112676056	0.00498592681946	24870
GO:0032100	3	4	positive regulation of appetite	0.0113879003559	0.00502440424921	34830
GO:0005223	4	4	intracellular cGMP activated cation channel activity	0.0101816180517	0.00511053689348	34830
GO:0008048	4	4	calcium sensitive guanylate cyclase activator activity	0.010456796918	0.00519666953775	34830
GO:0005329	4	4	dopamine transmembrane transporter activity	0.0107319757843	0.00519666953775	34830
GO:1902495	3	4	transmembrane transporter complex	0.0131672597865	0.00522538041918	34830
GO:0060126	3	4	somatotropin secreting cell differentiation	0.0128113879004	0.00522538041918	34830
GO:1902476	92	128	chloride transmembrane transport	0.2	0.00533980582524	2060
GO:1902723	3	4	negative regulation of skeletal muscle satellite cell proliferation	0.0135231316726	0.00554120011484	34830
GO:0005794	825	1024	Golgi apparatus	0.470588235294	0.00555555555556	180
GO:0097091	3	4	synaptic vesicle clustering	0.0138790035587	0.00562733275912	34830
GO:0034584	4	4	piRNA binding	0.0121078701156	0.00568475452196	34830
GO:2000821	4	4	regulation of grooming behavior	0.012520638415	0.00571346540339	34830
GO:0032787	3	4	monocarboxylic acid metabolic process	0.014768683274	0.00571346540339	34830
GO:0034987	43	32	immunoglobulin receptor binding	0.00933125972006	0.00583430571762	8570
GO:0004052	3	4	arachidonate 12-lipoxygenase activity	0.0153024911032	0.00588573069193	34830
GO:0001602	3	4	pancreatic polypeptide receptor activity	0.0156583629893	0.00594315245478	34830
GO:0106072	6	8	negative regulation of adenylate cyclase-activating G-protein coupled receptor signaling pathway	0.0387323943662	0.00607157217531	24870
GO:0030851	9	8	granulocyte differentiation	0.00981308411215	0.00607157217531	24870
GO:0097267	8	8	omega-hydroxylase P450 pathway	0.0173031026253	0.00607157217531	24870
GO:0021799	7	8	cerebral cortex radially oriented cell migration	0.0349172066235	0.00607157217531	24870
GO:0098875	1	1	epididymosome	0.00529701097238	0.00632031767042	30220
GO:0020003	1	1	symbiont-containing vacuole	0.00529701097238	0.00632031767042	30220
GO:0005927	3	4	muscle tendon junction	0.0163701067616	0.00634510479472	34830
GO:0018894	3	4	dibenzo-p-dioxin metabolic process	0.0160142348754	0.00634510479472	34830
GO:0004031	2	2	aldehyde oxidase activity	0.00663716814159	0.0063715349607	24170
GO:0045226	3	4	extracellular polysaccharide biosynthetic process	0.0167259786477	0.00645994832041	34830
GO:0050480	1	1	imidazolonepropionase activity	0.00586454786228	0.00651886168101	30220
GO:0009897	215	256	external side of plasma membrane	0.211711711712	0.00652173913043	920
GO:0035295	2	2	tube development	0.00700589970501	0.00653702937526	24170
GO:2000852	2	2	regulation of corticosterone secretion	0.00737463126844	0.00653702937526	24170
GO:0009624	3	4	response to nematode	0.0170818505338	0.00660350272753	34830
GO:0005332	4	4	gamma-aminobutyric acid:sodium symporter activity	0.0148596587782	0.00668963537181	34830
GO:1900212	3	4	negative regulation of mesenchymal cell apoptotic process involved in metanephros development	0.0174377224199	0.00668963537181	34830
GO:0001776	2	2	leukocyte homeostasis	0.00774336283186	0.00670252378982	24170
GO:0022848	15	16	acetylcholine-gated cation-selective channel activity	0.0172095881991	0.00676532769556	14190
GO:0004950	16	16	chemokine receptor activity	0.012315270936	0.00676532769556	14190
GO:0048747	12	16	muscle fiber development	0.0458333333333	0.00676532769556	14190
GO:0018298	13	16	protein-chromophore linkage	0.0284431137725	0.00676532769556	14190
GO:0015275	3	4	stretch-activated, cation-selective, calcium channel activity	0.0181494661922	0.00683318977893	34830
GO:0005262	65	64	calcium channel activity	0.0215517241379	0.00697167755991	4590
GO:0010983	2	2	positive regulation of high-density lipoprotein particle clearance	0.00811209439528	0.00703351261895	24170
GO:0034372	7	8	very-low-density lipoprotein particle remodeling	0.0388768898488	0.00719742661842	24870
GO:0003796	8	8	lysozyme activity	0.0196897374702	0.00719742661842	24870
GO:0005587	6	8	collagen type IV trimer	0.043082021541	0.00719742661842	24870
GO:0004993	11	8	G-protein coupled serotonin receptor activity	0.00758293838863	0.00719742661842	24870
GO:0035095	7	8	behavioral response to nicotine	0.0388768898488	0.00719742661842	24870
GO:0098664	7	8	G-protein coupled serotonin receptor signaling pathway	0.0388768898488	0.00719742661842	24870
GO:0035385	7	8	Roundabout signaling pathway	0.0388768898488	0.00719742661842	24870
GO:0003097	2	2	renal water transport	0.00884955752212	0.00728175424079	24170
GO:0021985	2	2	neurohypophysis development	0.00958702064897	0.00740587505172	24170
GO:0010625	1	1	positive regulation of Schwann cell proliferation	0.00614831630723	0.00751158173395	30220
GO:0035378	2	2	carbon dioxide transmembrane transport	0.0101401179941	0.00757136946628	24170
GO:0099038	2	2	ceramide-translocating ATPase activity	0.0108775811209	0.00757136946628	24170
GO:0022029	3	4	telencephalon cell migration	0.0185053380783	0.0077519379845	34830
GO:0015347	17	16	sodium-independent organic anion transmembrane transporter activity	0.0100463678516	0.0077519379845	14190
GO:0006833	16	16	water transport	0.015130190007	0.0077519379845	14190
GO:0006703	12	16	estrogen biosynthetic process	0.0502777777778	0.0077519379845	14190
GO:0005248	21	16	voltage-gated sodium channel activity	0.0073230268511	0.0077519379845	14190
GO:0010578	1	1	regulation of adenylate cyclase activity involved in G-protein coupled receptor signaling pathway	0.00652667423383	0.00780939774983	30220
GO:0030197	3	4	extracellular matrix constituent, lubricant activity	0.0188612099644	0.00789549239162	34830
GO:0010903	3	4	negative regulation of very-low-density lipoprotein particle remodeling	0.0197508896797	0.00789549239162	34830
GO:0034190	3	4	apolipoprotein receptor binding	0.0192170818505	0.00789549239162	34830
GO:0042756	6	8	drinking behavior	0.0482601491301	0.00820265379976	24870
GO:0001936	6	8	regulation of endothelial cell proliferation	0.0482601491301	0.00820265379976	24870
GO:0010838	7	8	positive regulation of keratinocyte proliferation	0.0433765298776	0.00820265379976	24870
GO:0034371	8	8	chylomicron remodeling	0.0222752585521	0.00820265379976	24870
GO:0030280	10	8	structural constituent of epidermis	0.00949691991786	0.00820265379976	24870
GO:0002025	3	4	norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure	0.0208185053381	0.00832615561298	34830
GO:2000330	4	4	positive regulation of T-helper 17 cell lineage commitment	0.016785910842	0.00832615561298	34830
GO:0004117	3	4	calmodulin-dependent cyclic-nucleotide phosphodiesterase activity	0.0213523131673	0.00838357737583	34830
GO:0071329	1	1	cellular response to sucrose stimulus	0.00681044267877	0.0084050297816	30220
GO:0021521	2	2	ventral spinal cord interneuron specification	0.0116150442478	0.00844021514274	24170
GO:0033092	2	2	positive regulation of immature T cell proliferation in thymus	0.0116150442478	0.00844021514274	24170
GO:0052689	32	32	carboxylic ester hydrolase activity	0.0180863477246	0.00851808634772	8570
GO:0015721	26	32	bile acid and bile salt transport	0.0376175548589	0.00851808634772	8570
GO:0015056	2	2	corticotrophin-releasing factor receptor activity	0.0121681415929	0.00852296235002	24170
GO:0001601	3	4	peptide YY receptor activity	0.0217081850534	0.00855584266437	34830
GO:0065009	192	256	regulation of molecular function	0.393700787402	0.00869565217391	920
GO:0004621	1	1	glycosylphosphatidylinositol phospholipase D activity	0.00728339008702	0.00873593646592	30220
GO:1904970	3	4	brush border assembly	0.0220640569395	0.00878552971576	34830
GO:0007522	1	1	visceral muscle development	0.00775633749527	0.00883520847121	30220
GO:0035235	23	32	ionotropic glutamate receptor signaling pathway	0.0771050141911	0.00898483080513	8570
GO:0060076	24	32	excitatory synapse	0.0753234750462	0.00898483080513	8570
GO:0032201	24	32	telomere maintenance via semi-conservative replication	0.0753234750462	0.00898483080513	8570
GO:0001733	3	4	galactosylceramide sulfotransferase activity	0.0224199288256	0.00901521676715	34830
GO:0016499	2	2	orexin receptor activity	0.0125368731563	0.00914356640463	24170
GO:0046878	3	4	positive regulation of saliva secretion	0.0227758007117	0.00915877117428	34830
GO:0007056	1	1	spindle assembly involved in female meiosis	0.00794551645857	0.00929847782925	30220
GO:0035418	12	16	protein localization to synapse	0.0536111111111	0.0093023255814	14190
GO:0008239	12	16	dipeptidyl-peptidase activity	0.0536111111111	0.0093023255814	14190
GO:0016339	27	32	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	0.0327868852459	0.00933488914819	8570
GO:0009566	32	32	fertilization	0.0239206534422	0.00933488914819	8570
GO:0004967	3	4	glucagon receptor activity	0.0231316725979	0.00938845822567	34830
GO:0033005	3	4	positive regulation of mast cell activation	0.023487544484	0.00956072351421	34830
GO:0048880	3	4	sensory system development	0.0238434163701	0.00958943439564	34830
GO:0070445	3	4	regulation of oligodendrocyte progenitor proliferation	0.0243772241993	0.00967556703991	34830
GO:0060168	3	4	positive regulation of adenosine receptor signaling pathway	0.0249110320285	0.00967556703991	34830
GO:0004980	3	4	melanocyte-stimulating hormone receptor activity	0.0243772241993	0.00967556703991	34830
GO:0008513	3	4	secondary active organic cation transmembrane transporter activity	0.0254448398577	0.00970427792133	34830
GO:0060513	4	4	prostatic bud formation	0.0207760044029	0.00970427792133	34830
GO:0050776	171	128	regulation of immune response	0.048951048951	0.00970873786408	2060
GO:0000278	98	128	mitotic cell cycle	0.169675090253	0.00970873786408	2060
GO:0051935	1	1	glutamate reuptake	0.00813469542187	0.00976174718729	30220
GO:0051120	3	4	hepoxilin A3 synthase activity	0.0261565836299	0.00981912144703	34830
GO:0008282	4	4	inward rectifying potassium channel	0.0213263621354	0.00981912144703	34830
GO:0038131	1	1	neuregulin receptor activity	0.00832387438517	0.00986101919259	30220
GO:0002024	9	8	diet induced thermogenesis	0.0158878504673	0.00997185363892	24870
GO:0036374	8	8	glutathione hydrolase activity	0.0238663484487	0.00997185363892	24870
GO:0030432	7	8	peristalsis	0.0471562275018	0.00997185363892	24870
GO:2000465	1	1	regulation of glycogen (starch) synthase activity	0.00860764283012	0.0102581072138	30220
GO:0033626	1	1	positive regulation of integrin activation by cell surface receptor linked signal transduction	0.00889141127507	0.0103242885506	30220
GO:0071926	1	1	endocannabinoid signaling pathway	0.00917517972002	0.0104235605559	30220
GO:0031812	1	1	P2Y1 nucleotide receptor binding	0.00945894816496	0.0106882859034	30220
GO:0007631	31	32	feeding behavior	0.0261984392419	0.0107351225204	8570
GO:0005267	31	32	potassium channel activity	0.0261984392419	0.0107351225204	8570
GO:0097450	2	2	astrocyte end-foot	0.0129056047198	0.0107571369466	24170
GO:0005111	2	2	type 2 fibroblast growth factor receptor binding	0.01401179941	0.0108398841539	24170
GO:0003193	2	2	pulmonary valve formation	0.0134587020649	0.0108398841539	24170
GO:0015265	3	4	urea channel activity	0.0266903914591	0.0108814240597	34830
GO:0015812	5	4	gamma-aminobutyric acid transport	0.00505369551485	0.010967556704	34830
GO:0048807	3	4	female genitalia morphogenesis	0.0270462633452	0.0109962675854	34830
GO:0090212	2	2	negative regulation of establishment of blood-brain barrier	0.0143805309735	0.0110053785685	24170
GO:0098855	3	4	HCN channel complex	0.0274021352313	0.0110249784668	34830
GO:0007155	429	512	cell adhesion	0.357142857143	0.0111111111111	360
GO:0016556	3	4	mRNA modification	0.0277580071174	0.0113120872811	34830
GO:1901492	2	2	positive regulation of lymphangiogenesis	0.0147492625369	0.0113363673976	24170
GO:0036143	1	1	kringle domain binding	0.00964812712826	0.011350099272	30220
GO:0008528	12	16	G-protein coupled peptide receptor activity	0.0566666666667	0.0114164904863	14190
GO:0004968	3	4	gonadotropin-releasing hormone receptor activity	0.0281138790036	0.0114269308068	34830
GO:0061184	2	2	positive regulation of dermatome development	0.0151179941003	0.0114604882085	24170
GO:0060579	3	4	ventral spinal cord interneuron fate commitment	0.0284697508897	0.0114843525696	34830
GO:0038101	1	1	sequestering of nodal from receptor via nodal binding	0.00993189557321	0.0116479152879	30220
GO:0021530	3	4	spinal cord oligodendrocyte cell fate specification	0.0288256227758	0.0118001722653	34830
GO:0034359	1	1	mature chylomicron	0.0104048429815	0.01181336863	30220
GO:0045556	1	1	positive regulation of TRAIL biosynthetic process	0.0104048429815	0.01181336863	30220
GO:0098985	4	4	asymmetric, glutamatergic, excitatory synapse	0.0239405613649	0.0118863049096	34830
GO:0046010	2	2	positive regulation of circadian sleep/wake cycle, non-REM sleep	0.0154867256637	0.0119155978486	24170
GO:1901383	2	2	negative regulation of chorionic trophoblast cell proliferation	0.0158554572271	0.0119983450559	24170
GO:0060460	2	2	left lung morphogenesis	0.0162241887906	0.0120810922631	24170
GO:0003777	91	128	microtubule motor activity	0.233974358974	0.0121359223301	2060
GO:0014732	7	8	skeletal muscle atrophy	0.0511159107271	0.0121833534379	24870
GO:0000801	7	8	central element	0.0511159107271	0.0121833534379	24870
GO:0032099	6	8	negative regulation of appetite	0.0567522783761	0.0121833534379	24870
GO:0045823	6	8	positive regulation of heart contraction	0.0567522783761	0.0121833534379	24870
GO:0034105	6	8	positive regulation of tissue remodeling	0.0567522783761	0.0121833534379	24870
GO:0040012	6	8	regulation of locomotion	0.0567522783761	0.0121833534379	24870
GO:0048007	7	8	antigen processing and presentation, exogenous lipid antigen via MHC class Ib	0.0511159107271	0.0121833534379	24870
GO:0005891	27	32	voltage-gated calcium channel complex	0.0415300546448	0.012252042007	8570
GO:0010107	23	32	potassium ion import	0.09697256386	0.012252042007	8570
GO:0036126	27	32	sperm flagellum	0.0415300546448	0.012252042007	8570
GO:0005588	3	4	collagen type V trimer	0.029537366548	0.0124892334195	34830
GO:0036117	2	2	hyaluranon cable	0.016592920354	0.0125775755068	24170
GO:0051121	1	1	hepoxilin metabolic process	0.0109723798714	0.0126075446724	30220
GO:0030300	4	4	regulation of intestinal cholesterol absorption	0.0244909190974	0.0126327878266	34830
