Synonym	Primary symbols	Ambiguity
A0A1W2PQJ5_HUMAN	A0A1W2PQJ5	0
A0A1W2PQL4_HUMAN	A0A1W2PQL4	0
A0A1W2PQM1_HUMAN	A0A1W2PQM1	0
A0A1W2PQS6_HUMAN	RPS10-NUDT3	0
A0A1W2PQU2_HUMAN	KANTR	0
A0A1W2PQY0_HUMAN	A0A1W2PQY0	0
A0A1W2PR48_HUMAN	A0A1W2PR48	0
A0A1W2PR64_HUMAN	A0A1W2PR64	0
A0A1W2PR75_HUMAN	SSU72P8	0
A0A1W2PR95_HUMAN	hCG_1642624	0
A0A1W2PRG6_HUMAN	A0A1W2PRG6	0
A0A1W2PRN6_HUMAN	hCG_1807616	0
A0A1W2PRP0_HUMAN	WI2-2373I1.2	0
A0A1W2PRV1_HUMAN	A0A1W2PRV1	0
A0A1W2PRY6_HUMAN	SMIM27	0
A0A1W2PS18_HUMAN	A0A1W2PS18	0
A0A1W2PS29_HUMAN	A0A1W2PS29	0
A0A286YEE6_HUMAN	A0A286YEE6	0
A0A286YES4_HUMAN	A0A286YES4	0
A0A286YET3_HUMAN	A0A286YET3	0
A0A286YEU6_HUMAN	A0A286YEU6	0
A0A286YEX6_HUMAN	A0A286YEX6	0
A0A286YF18_HUMAN	A0A286YF18	0
A0A286YF32_HUMAN	A0A286YF32	0
A0A286YF58_HUMAN	A0A286YF58	0
A0A286YFD6_HUMAN	A0A286YFD6	0
A0A286YFG3_HUMAN	A0A286YFG3	0
A0A286YFK9_HUMAN	A0A286YFK9	0
A0A286YFN4_HUMAN	A0A286YFN4	0
A0JD32_HUMAN	TRAV38-2DV8	0
A0JD36_HUMAN	TRDV2	0
A0JD37_HUMAN	TRDV3	0
A14GALT	A4GALT	0
A15	TSPAN7	0
A16A1_HUMAN	ALDH16A1	0
A16L1_HUMAN	ATG16L1	0
A16L2_HUMAN	ATG16L2	0
A18HNRNP	CIRBP	0
A1AG1_HUMAN	ORM1	0
A1AG2_HUMAN	ORM2	0
A1ATR_HUMAN	SERPINA2	0
A1AT_HUMAN	SERPINA1	0
A1BG_HUMAN	A1BG	0
A1CF_HUMAN	A1CF	0
A1S9T	UBA1	0
A20A1_HUMAN	ANKRD20A1	0
A26B3	POTED	0
A26C1A	POTEE	0
A26C1B	POTEF	0
A26L1_HUMAN	ANKRD36BP1	0
A2AP_HUMAN	SERPINF2	0
A2BP	RBFOX1	0
A2BP1	RBFOX1	0
A2D	ATXN2L	0
A2GL_HUMAN	LRG1	0
A2LD1	GGACT	0
A2LG	ATXN2L	0
A2LP	ATXN2L	0
A2MG_HUMAN	A2M	0
A2ML1_HUMAN	A2ML1	0
A2MR	LRP1	0
A2MRAP	LRPAP1	0
A2RP	ATXN2L	0
A3GALT2P	A3GALT2	0
A3LT2_HUMAN	A3GALT2	0
A4	APP|PLP2	1
A4GALT1	A4GALT	0
A4GAT_HUMAN	A4GALT	0
A4GCT_HUMAN	A4GNT	0
A4_HUMAN	APP	0
A7L3B_HUMAN	ATXN7L3B	0
A8MSY1_HUMAN	TMEM110-MUSTN1	0
AA1R_HUMAN	ADORA1	0
AA2AR_HUMAN	ADORA2A	0
AA2BR_HUMAN	ADORA2B	0
AA3R_HUMAN	ADORA3	0
AAA1_HUMAN	SLC7A10	0
AAAD_HUMAN	AADAC	0
AAAS_HUMAN	AAAS	0
AAAT_HUMAN	SLC1A5	0
AAC1	NAT1	0
AAC2	NAT2	0
AAC4	SLC25A31	0
AACS_HUMAN	AACS	0
AACT	SERPINA3	0
AACT_HUMAN	SERPINA3	0
AADACL1	NCEH1	0
AADAT_HUMAN	AADAT	0
AADC	DDC	0
AAED1_HUMAN	AAED1	0
AAG	MPG	0
AAG10	CHCHD2	0
AAG13	S100A16	0
AAG2	ST13	0
AAG4	CLU	0
AAG5	AGPS	0
AAG8	SIGMAR1	0
AAGAB_HUMAN	AAGAB	0
AAK1_HUMAN	AAK1	0
AAKB1_HUMAN	PRKAB1	0
AAKB2_HUMAN	PRKAB2	0
AAKG1_HUMAN	PRKAG1	0
AAKG2_HUMAN	PRKAG2	0
AAKG3_HUMAN	PRKAG3	0
AAMDC_HUMAN	AAMDC	0
AAMP_HUMAN	AAMP	0
AAP	SERPINF2	0
AAPK1_HUMAN	PRKAA1	0
AAPK2_HUMAN	PRKAA2	0
AAR2_HUMAN	AAR2	0
AARD_HUMAN	AARD	0
AARF	ADCK2	0
AARSL	AARS2	0
AASD1_HUMAN	AARSD1	0
AASS_HUMAN	AASS	0
AAT	SERPINA1	0
AAT1	GPT|MAATS1	1
AAT2	GPT2	0
AATC2_HUMAN	GOT1L1	0
AATC_HUMAN	GOT1	0
AATF_HUMAN	AATF	0
AATM_HUMAN	GOT2	0
AATYK	AATK	0
AATYK2	LMTK2	0
AAVR	KIAA0319L	0
AB12B_HUMAN	ABHD12B	0
AB17A_HUMAN	ABHD17A	0
AB17B_HUMAN	ABHD17B	0
AB17C_HUMAN	ABHD17C	0
AB1IP_HUMAN	APBB1IP	0
ABBP1	HNRNPAB	0
ABC1	ABCA1|HEATR6	1
ABC12	ABCA12	0
ABC2	ABCA2|SMG8	1
ABC3	ABCA3	0
ABC3A_HUMAN	APOBEC3A	0
ABC3B_HUMAN	APOBEC3B	0
ABC3C_HUMAN	APOBEC3C	0
ABC3D_HUMAN	APOBEC3D	0
ABC3F_HUMAN	APOBEC3F	0
ABC3G_HUMAN	APOBEC3G	0
ABC3H_HUMAN	APOBEC3H	0
ABC50	ABCF1	0
ABC7	ABCB7	0
ABC8	ABCG1	0
ABCA11	ABCA11P	0
ABCA1_HUMAN	ABCA1	0
ABCA2_HUMAN	ABCA2	0
ABCA3_HUMAN	ABCA3	0
ABCA4_HUMAN	ABCA4	0
ABCA5_HUMAN	ABCA5	0
ABCA6_HUMAN	ABCA6	0
ABCA7_HUMAN	ABCA7	0
ABCA8_HUMAN	ABCA8	0
ABCA9_HUMAN	ABCA9	0
ABCAA_HUMAN	ABCA10	0
ABCAB_HUMAN	ABCA11P	0
ABCAC_HUMAN	ABCA12	0
ABCAD_HUMAN	ABCA13	0
ABCB2	TAP1	0
ABCB3	TAP2	0
ABCB5_HUMAN	ABCB5	0
ABCB6_HUMAN	ABCB6	0
ABCB7_HUMAN	ABCB7	0
ABCB8_HUMAN	ABCB8	0
ABCB9_HUMAN	ABCB9	0
ABCBA_HUMAN	ABCB10	0
ABCBB_HUMAN	ABCB11	0
ABCC7	CFTR	0
ABCC8_HUMAN	ABCC8	0
ABCC9_HUMAN	ABCC9	0
ABCCB_HUMAN	ABCC11	0
ABCCD_HUMAN	ABCC13	0
ABCD1_HUMAN	ABCD1	0
ABCD2_HUMAN	ABCD2	0
ABCD3_HUMAN	ABCD3	0
ABCD4_HUMAN	ABCD4	0
ABCE1_HUMAN	ABCE1	0
ABCF1_HUMAN	ABCF1	0
ABCF2_HUMAN	ABCF2	0
ABCF3_HUMAN	ABCF3	0
ABCG1_HUMAN	ABCG1	0
ABCG2_HUMAN	ABCG2	0
ABCG4_HUMAN	ABCG4	0
ABCG5_HUMAN	ABCG5	0
ABCG8_HUMAN	ABCG8	0
ABCP	ABCG2	0
ABCR	ABCA4	0
ABD12_HUMAN	ABHD12	0
ABD18_HUMAN	ABHD18	0
ABEC1_HUMAN	APOBEC1	0
ABEC2_HUMAN	APOBEC2	0
ABEC4_HUMAN	APOBEC4	0
ABF1	MSC	0
ABH	ALKBH1	0
ABH1	ALKBH1	0
ABH15_HUMAN	ABHD15	0
ABH2	ALKBH2	0
ABH3	ALKBH3	0
ABH4	ALKBH4	0
ABH5	ALKBH5	0
ABH6	ALKBH6	0
ABH7	ALKBH7	0
ABH8	ALKBH8	0
ABHD1_HUMAN	ABHD1	0
ABHD2_HUMAN	ABHD2	0
ABHD3_HUMAN	ABHD3	0
ABHD4_HUMAN	ABHD4	0
ABHD5_HUMAN	ABHD5	0
ABHD6_HUMAN	ABHD6	0
ABHD7	EPHX4	0
ABHD8_HUMAN	ABHD8	0
ABHD9	EPHX3	0
ABHDA_HUMAN	ABHD10	0
ABHDB_HUMAN	ABHD11	0
ABHDD_HUMAN	ABHD13	0
ABHEA_HUMAN	ABHD14A	0
ABHEB_HUMAN	ABHD14B	0
ABHGA_HUMAN	ABHD16A	0
ABHGB_HUMAN	ABHD16B	0
ABI1_HUMAN	ABI1	0
ABI2_HUMAN	ABI2	0
ABI3_HUMAN	ABI3	0
ABIN2	TNIP2	0
ABIN3	TNIP3	0
ABL	ABL1	0
ABL1_HUMAN	ABL1	0
ABL2_HUMAN	ABL2	0
ABLIM	ABLIM1	0
ABLL	ABL2	0
ABLM1_HUMAN	ABLIM1	0
ABLM2_HUMAN	ABLIM2	0
ABLM3_HUMAN	ABLIM3	0
ABP1	AOC1	0
ABP32	PEF1	0
ABP620	MACF1	0
ABPL	FLNC	0
ABRA1	ABRAXAS1	0
ABRA_HUMAN	ABRA	0
ABRO1	ABRAXAS2	0
ABRX1_HUMAN	ABRAXAS1	0
ABRX2_HUMAN	ABRAXAS2	0
ABR_HUMAN	ABR	0
ABS	DDX41	0
ABT1_HUMAN	ABT1	0
ABTAP	ESF1	0
ABTB1_HUMAN	ABTB1	0
ABTB2_HUMAN	ABTB2	0
AC1	LINC01587	0
ACAA	ACAA1	0
ACAC	ACACA	0
ACACA_HUMAN	ACACA	0
ACACB_HUMAN	ACACB	0
ACACT	SOAT1	0
ACACT1	SOAT1	0
ACACT2	SOAT2	0
ACAD8_HUMAN	ACAD8	0
ACAD9_HUMAN	ACAD9	0
ACADL_HUMAN	ACADL	0
ACADM_HUMAN	ACADM	0
ACADS_HUMAN	ACADS	0
ACADV_HUMAN	ACADVL	0
ACAM	CLMP	0
ACAP1_HUMAN	ACAP1	0
ACAP2_HUMAN	ACAP2	0
ACAP3_HUMAN	ACAP3	0
ACAS2	ACSS2	0
ACAS2L	ACSS1	0
ACAT	ACAT1|SOAT1	1
ACATN	SLC33A1	0
ACATN_HUMAN	SLC33A1	0
ACBD4_HUMAN	ACBD4	0
ACBD5_HUMAN	ACBD5	0
ACBD6_HUMAN	ACBD6	0
ACBD7_HUMAN	ACBD7	0
ACBG1_HUMAN	ACSBG1	0
ACBG2_HUMAN	ACSBG2	0
ACBP	CPN1|CPN2	1
ACBP_HUMAN	DBI	0
ACC1	ACACA	0
ACC2	ACACB	0
ACCA	ACACA|GPR3	1
ACCB	ACACB	0
ACCN	ASIC2	0
ACCN1	ASIC2	0
ACCN2	ASIC1	0
ACCN3	ASIC3	0
ACCN4	ASIC4	0
ACCN5	ASIC5	0
ACD10_HUMAN	ACAD10	0
ACD11_HUMAN	ACAD11	0
ACDC	ADIPOQ	0
ACDP1	CNNM1	0
ACDP2	CNNM2	0
ACDP3	CNNM3	0
ACDP4	CNNM4	0
ACDSB_HUMAN	ACADSB	0
ACD_HUMAN	ACD	0
ACE2_HUMAN	ACE2	0
ACER1_HUMAN	ACER1	0
ACER2_HUMAN	ACER2	0
ACER3_HUMAN	ACER3	0
ACES_HUMAN	ACHE	0
ACE_HUMAN	ACE	0
ACF	A1CF	0
ACF1	BAZ1A	0
ACF7	MACF1	0
ACGNAT	GLYAT	0
ACH10_HUMAN	CHRNA10	0
ACHA2_HUMAN	CHRNA2	0
ACHA3_HUMAN	CHRNA3	0
ACHA4_HUMAN	CHRNA4	0
ACHA5_HUMAN	CHRNA5	0
ACHA6_HUMAN	CHRNA6	0
ACHA7_HUMAN	CHRNA7	0
ACHA9_HUMAN	CHRNA9	0
ACHAP	CUTA	0
ACHA_HUMAN	CHRNA1	0
ACHB2_HUMAN	CHRNB2	0
ACHB3_HUMAN	CHRNB3	0
ACHB4_HUMAN	CHRNB4	0
ACHB_HUMAN	CHRNB1	0
ACHD_HUMAN	CHRND	0
ACHE_HUMAN	CHRNE	0
ACHG_HUMAN	CHRNG	0
ACHRA	CHRNA1	0
ACHRB	CHRNB1	0
ACHRD	CHRND	0
ACHRE	CHRNE	0
ACHRG	CHRNG	0
ACID1	MED25	0
ACID2	PTOV1	0
ACINUS	ACIN1	0
ACINU_HUMAN	ACIN1	0
ACK1	TNK2	0
ACK1_HUMAN	TNK2	0
ACKR1_HUMAN	ACKR1	0
ACKR2_HUMAN	ACKR2	0
ACKR3_HUMAN	ACKR3	0
ACKR4_HUMAN	ACKR4	0
ACL6A_HUMAN	ACTL6A	0
ACL6B_HUMAN	ACTL6B	0
ACL7A_HUMAN	ACTL7A	0
ACL7B_HUMAN	ACTL7B	0
ACLP	AEBP1	0
ACLY_HUMAN	ACLY	0
ACM1_HUMAN	CHRM1	0
ACM2_HUMAN	CHRM2	0
ACM3_HUMAN	CHRM3	0
ACM4_HUMAN	CHRM4	0
ACM5_HUMAN	CHRM5	0
ACMSD_HUMAN	ACMSD	0
ACN9	SDHAF3	0
ACO11_HUMAN	ACOT11	0
ACO12_HUMAN	ACOT12	0
ACO13_HUMAN	ACOT13	0
ACO15_HUMAN	THEM5	0
ACOC_HUMAN	ACO1	0
ACOD4	SCD5	0
ACOD_HUMAN	SCD	0
ACON_HUMAN	ACO2	0
ACOT15	THEM5	0
ACOT1_HUMAN	ACOT1	0
ACOT2_HUMAN	ACOT2	0
ACOT4_HUMAN	ACOT4	0
ACOT6_HUMAN	ACOT6	0
ACOT8_HUMAN	ACOT8	0
ACOT9_HUMAN	ACOT9	0
ACOX	ACOX1	0
ACOX1_HUMAN	ACOX1	0
ACOX2_HUMAN	ACOX2	0
ACOX3_HUMAN	ACOX3	0
ACOXL_HUMAN	ACOXL	0
ACP33	SPG21	0
ACP7_HUMAN	ACP7	0
ACPH_HUMAN	APEH	0
ACPL1	ACP6	0
ACPL2	PXYLP1	0
ACPM_HUMAN	NDUFAB1	0
ACPT	ACP4	0
ACR1	PRDX5	0
ACRBP_HUMAN	ACRBP	0
ACRC	GCNA	0
ACRC_HUMAN	GCNA	0
ACRO_HUMAN	ACR	0
ACRP30	ADIPOQ	0
ACRS	ACR	0
ACS2	ACSL6	0
ACS2A_HUMAN	ACSM2A	0
ACS2B_HUMAN	ACSM2B	0
